ts_code,name,symbol
000911.SZ,广农糖业,000911
000912.SZ,泸天化,000912
000913.SZ,钱江摩托,000913
000915.SZ,华特达因,000915
000917.SZ,电广传媒,000917
000919.SZ,金陵药业,000919
000920.SZ,沃顿科技,000920
000921.SZ,海信家电,000921
000922.SZ,佳电股份,000922
000923.SZ,河钢资源,000923
000925.SZ,众合科技,000925
000926.SZ,福星股份,000926
000927.SZ,中国铁物,000927
000928.SZ,中钢国际,000928
000929.SZ,*ST兰黄,000929
000930.SZ,中粮科技,000930
000931.SZ,中关村,000931
000932.SZ,华菱钢铁,000932
000933.SZ,神火股份,000933
000935.SZ,四川双马,000935
000936.SZ,华西股份,000936
000937.SZ,冀中能源,000937
000938.SZ,紫光股份,000938
000948.SZ,南天信息,000948
000949.SZ,新乡化纤,000949
000950.SZ,重药控股,000950
000951.SZ,中国重汽,000951
000952.SZ,广济药业,000952
000953.SZ,河化股份,000953
000955.SZ,欣龙控股,000955
000957.SZ,中通客车,000957
000958.SZ,电投产融,000958
000959.SZ,首钢股份,000959
000960.SZ,锡业股份,000960
000962.SZ,东方钽业,000962
000963.SZ,华东医药,000963
000965.SZ,天保基建,000965
000966.SZ,长源电力,000966
000967.SZ,盈峰环境,000967
000968.SZ,蓝焰控股,000968
000969.SZ,安泰科技,000969
000970.SZ,中科三环,000970
000972.SZ,*ST中基,000972
000973.SZ,佛塑科技,000973
000975.SZ,山金国际,000975
000977.SZ,浪潮信息,000977
000978.SZ,桂林旅游,000978
000980.SZ,众泰汽车,000980
000981.SZ,山子高科,000981
000983.SZ,山西焦煤,000983
000985.SZ,大庆华科,000985
000987.SZ,越秀资本,000987
000988.SZ,华工科技,000988
000989.SZ,九芝堂,000989
000990.SZ,诚志股份,000990
000993.SZ,闽东电力,000993
000995.SZ,皇台酒业,000995
000997.SZ,新大陆,000997
000998.SZ,隆平高科,000998
000999.SZ,华润三九,000999
002001.SZ,新和成,002001
002181.SZ,粤传媒,002181
600000.SH,浦发银行,600000
600004.SH,白云机场,600004
600006.SH,东风股份,600006
600007.SH,中国国贸,600007
600008.SH,首创环保,600008
600009.SH,上海机场,600009
600010.SH,包钢股份,600010
600011.SH,华能国际,600011
600012.SH,皖通高速,600012
600015.SH,华夏银行,600015
600016.SH,民生银行,600016
600019.SH,宝钢股份,600019
600020.SH,中原高速,600020
600021.SH,上海电力,600021
600026.SH,中远海能,600026
600028.SH,中国石化,600028
600029.SH,南方航空,600029
600030.SH,中信证券,600030
600031.SH,三一重工,600031
600033.SH,福建高速,600033
600035.SH,楚天高速,600035
600036.SH,招商银行,600036
600037.SH,歌华有线,600037
600038.SH,中直股份,600038
600039.SH,四川路桥,600039
600050.SH,中国联通,600050
600051.SH,宁波联合,600051
600052.SH,东望时代,600052
600053.SH,九鼎投资,600053
600054.SH,黄山旅游,600054
600055.SH,万东医疗,600055
600056.SH,中国医药,600056
600057.SH,厦门象屿,600057
600058.SH,五矿发展,600058
600059.SH,古越龙山,600059
600060.SH,海信视像,600060
600061.SH,国投资本,600061
600062.SH,华润双鹤,600062
600063.SH,皖维高新,600063
600064.SH,南京高科,600064
600066.SH,宇通客车,600066
600067.SH,冠城新材,600067
600071.SH,凤凰光学,600071
600072.SH,中船科技,600072
600073.SH,光明肉业,600073
600075.SH,新疆天业,600075
600076.SH,康欣新材,600076
600078.SH,澄星股份,600078
600079.SH,ST人福,600079
600080.SH,金花股份,600080
600081.SH,东风科技,600081
600082.SH,海泰发展,600082
600084.SH,中信尼雅,600084
600085.SH,同仁堂,600085
600088.SH,中视传媒,600088
600089.SH,特变电工,600089
600094.SH,大名城,600094
600095.SH,湘财股份,600095
600096.SH,云天化,600096
600097.SH,开创国际,600097
600098.SH,广州发展,600098
600099.SH,林海股份,600099
600100.SH,同方股份,600100
600101.SH,明星电力,600101
600103.SH,青山纸业,600103
600104.SH,上汽集团,600104
600105.SH,永鼎股份,600105
600106.SH,重庆路桥,600106
600107.SH,ST尔雅,600107
600108.SH,亚盛集团,600108
600109.SH,国金证券,600109
600110.SH,诺德股份,600110
600111.SH,北方稀土,600111
600113.SH,浙江东日,600113
600114.SH,东睦股份,600114
600115.SH,中国东航,600115
600116.SH,三峡水利,600116
600117.SH,西宁特钢,600117
600118.SH,中国卫星,600118
600119.SH,长江投资,600119
600120.SH,浙江东方,600120
600121.SH,郑州煤电,600121
600123.SH,兰花科创,600123
600125.SH,铁龙物流,600125
600126.SH,杭钢股份,600126
600127.SH,金健米业,600127
600128.SH,苏豪弘业,600128
600129.SH,太极集团,600129
600130.SH,*ST波导,600130
600131.SH,国网信通,600131
600132.SH,重庆啤酒,600132
600133.SH,东湖高新,600133
600135.SH,乐凯胶片,600135
600136.SH,ST明诚,600136
600137.SH,浪莎股份,600137
600138.SH,中青旅,600138
600141.SH,兴发集团,600141
600148.SH,长春一东,600148
600149.SH,廊坊发展,600149
600150.SH,中国船舶,600150
600151.SH,航天机电,600151
600152.SH,维科技术,600152
600153.SH,建发股份,600153
600155.SH,华创云信,600155
600156.SH,华升股份,600156
600157.SH,永泰能源,600157
600158.SH,中体产业,600158
600159.SH,大龙地产,600159
600160.SH,巨化股份,600160
600161.SH,天坛生物,600161
600162.SH,香江控股,600162
600163.SH,中闽能源,600163
600165.SH,ST宁科,600165
600166.SH,福田汽车,600166
600167.SH,联美控股,600167
600168.SH,武汉控股,600168
600169.SH,ST太重,600169
600170.SH,上海建工,600170
600171.SH,上海贝岭,600171
600172.SH,黄河旋风,600172
600173.SH,卧龙新能,600173
600176.SH,中国巨石,600176
600177.SH,雅戈尔,600177
600178.SH,东安动力,600178
600179.SH,安通控股,600179
600180.SH,瑞茂通,600180
600182.SH,S佳通,600182
600183.SH,生益科技,600183
600184.SH,光电股份,600184
600185.SH,珠免集团,600185
600186.SH,莲花控股,600186
600187.SH,国中水务,600187
600188.SH,兖矿能源,600188
600189.SH,泉阳泉,600189
600191.SH,华资实业,600191
600192.SH,长城电工,600192
600193.SH,*ST创兴,600193
